key,Pressure,Power1,Power2,Vibration_Peak1,Vibration_RMS1,Vibration_Peak2,Vibration_RMS2
1,1030.888889,1758.333333,1993.888889,438.2986077,1.86606835,1745.63111,0.890292826
1,1019.508475,1742.881356,2095.932203,445.2531345,1.870992873,1615.059148,0.913187086
1,1025.3,1737.666667,2083.5,452.7223378,1.869140327,1714.612494,0.888425029
1,1019.383333,1751.666667,2089.833333,453.9061167,1.853421503,1689.548169,0.887921854
1,1017.316667,1772.5,2103.166667,447.1342005,1.85865166,1615.978827,0.881195231
1,1018.466667,1765.666667,2108.333333,463.488117,1.871901834,1678.973669,0.874921496
1,1027.40678,1771.016949,2248.983051,473.9794922,1.862475937,1732.507283,0.941700218
1,1020.566667,1782.166667,2358.333333,478.9635508,1.848786173,1800.768829,0.975864934
1,1016.45,1789,2350.5,467.8121694,1.837307334,1692.187665,0.974562368
1,1022.4375,1802.5,2347.8125,462.4736862,1.83756905,1743.841564,0.977620936
1,1020.157895,1744.736842,2019.473684,459.5707944,1.839480532,1592.521568,0.906148523
1,1014.254237,1778.135593,2102.542373,469.6225617,1.862702545,1633.264744,0.894134322
1,1017.566667,1779.166667,2093,450.4201508,1.865729,1681.714836,0.922782283
1,1019.95,1767.833333,2107.166667,459.7036835,1.831980669,1658.07134,0.939834131
1,1023.366667,1749.166667,2107,461.548435,1.836344675,1683.233,0.942772484
1,1020.559322,1752.372881,2102.542373,461.9650501,1.832235759,1706.426437,0.949812158
1,1021.616667,1778.666667,2233.5,461.9749858,1.838103835,1724.756327,0.941180751
1,1017.066667,1799.833333,2335.333333,468.1948303,1.858284835,1768.931,0.974105904
1,1022.166667,1805.5,2348.5,475.7337641,1.870196507,1727.11051,0.983842971
1,1013.935484,1804.83871,2344.83871,478.0899678,1.868090656,1817.559362,0.983638449
1,1024.166667,1777.222222,2023.888889,451.2578888,1.861731112,1614.313327,0.90471772
1,1032.576271,1774.745763,2088.813559,449.399457,1.85293152,1618.269991,0.902755611
1,1023.566667,1747,2078,459.0173172,1.849740994,1635.293329,0.889199546
1,1028.05,1748.5,2074,470.1678477,1.853486504,1630.558002,0.89603005
1,1023.133333,1756.666667,2069.5,458.2089177,1.852716176,1657.007839,0.902817465
1,1015.186441,1763.220339,2082.372881,454.925459,1.855776959,1634.20339,0.909410715
1,1017.433333,1784.166667,2217.5,472.4184845,1.866966003,1695.313666,0.95501427
1,1024.25,1801.5,2312.5,479.7201528,1.863674162,1724.058832,0.970090332
1,1018.833333,1769.833333,2296.833333,488.7475332,1.870213004,1741.723167,0.982029288
1,1018.3125,1791.25,2300,490.0750933,1.862354986,1728.478134,0.979820471
1,1016.684211,1742.105263,1979.473684,448.1394734,1.847758425,1610.617888,0.949861631
1,1019.220339,1747.288136,2069.661017,453.4143387,1.846061521,1633.749156,0.932105156
1,1021.766667,1763,2050,456.4651026,1.855037167,1626.863999,0.922409719
1,1021.383333,1765,2058.5,464.9735657,1.863806007,1629.127504,0.924610016
1,1023.083333,1766.333333,2068,472.1103185,1.884431507,1649.11483,0.934498713
1,1028.661017,1757.118644,2064.745763,469.2664909,1.874723224,1666.01067,0.937466137
1,1020.333333,1764.166667,2184.666667,476.6890676,1.873414848,1718.696826,0.971852217
1,1016.533333,1787.833333,2294.666667,475.9069346,1.873418329,1780.742503,0.997822115
1,1023.333333,1795.5,2293.666667,469.1436844,1.877008506,1815.445341,0.998977215
1,1019.375,1787.1875,2308.125,483.6849384,1.882942818,1774.444374,0.989281863
1,1020.833333,1764.444444,1992.777778,452.7862786,1.879462216,1663.263896,0.977228668
1,1016.551724,1771.37931,2048.448276,459.8000162,1.870884131,1678.711036,0.951172277
1,1020.9,1773,2049,463.8191335,1.866452658,1631.064006,0.944040087
1,1015.65,1775.166667,2050.666667,458.1369832,1.85662716,1658.55683,0.948635055
1,1026.516667,1762.333333,2050.833333,463.2758998,1.858109492,1662.012673,0.946802801
1,1018.915254,1747.288136,2056.101695,455.6105435,1.864175087,1684.427124,0.955210624
1,1019.016667,1784,2198.166667,469.2053024,1.864684498,1723.761005,0.989281863
1,1028.033333,1805.5,2300.5,478.4475169,1.877558005,1792.747162,0.98925989
1,1021.45,1791.833333,2286,487.7084997,1.88624266,1774.964006,0.9879483
1,1019.566667,1770.333333,2281,498.8338348,1.875978327,1776.454325,1
1,1012.894737,1756.842105,1962.105263,452.6362096,1.858222102,1628.489997,0.993427585
1,1021.87931,1758.62069,2066.551724,463.235431,1.862035005,1661.578801,0.968076944
1,1028.383333,1760,2034.333333,466.3629506,1.862880995,1633.208504,0.950094031
1,1028.6,1757.666667,2053.666667,464.7124507,1.877288836,1661.089168,0.960699451
1,1012.166667,1761.5,2052,473.7862503,1.882766831,1628.50283,0.957803071
1,1020.101695,1771.694915,2057.457627,468.5315071,1.873247286,1665.162368,0.95435649
1,1022.016667,1767.166667,2179.166667,468.2520162,1.860412832,1686.824493,0.993111901
1,1014.033333,1772.166667,2279.166667,484.6061147,1.872125667,1734.335339,0.994691784
1,1017.183333,1797.166667,2292.833333,474.9699829,1.888527338,1732.994663,1.000136116
1,1011.0625,1786.25,2275,473.2235622,1.890711874,1724.679676,0.998692627
1,1019.235294,1752.941176,1968.823529,442.6623535,1.856275888,1678.367661,0.961176005
1,1024.2,1751.833333,2047.5,454.6921346,1.865235001,1679.556993,0.956266353
1,1018.833333,1767,2041.5,463.2133667,1.856217321,1640.47617,0.930340451
1,1015.983333,1774.333333,2035.833333,471.1027669,1.849912333,1672.557176,0.934427447
1,1019.916667,1763.333333,2041.666667,467.6457011,1.854883178,1690.429508,0.942231233
1,1020.372881,1764.40678,2043.728814,464.4205441,1.87216508,1699.119141,0.946287608
1,1018.166667,1792.833333,2178.333333,485.0214478,1.892547335,1693.943833,0.977983666
1,1022.116667,1799.333333,2285.666667,483.320816,1.884172334,1785.270671,0.989189408
1,1018.983333,1798.166667,2281.5,486.9518677,1.875579337,1771.002834,0.992685206
1,1020.5625,1790,2282.1875,480.6804371,1.881244063,1728.869072,0.997017
1,1018.764706,1762.941176,1970,447.5732386,1.856909408,1682.572962,0.971540004
1,1019.6,1782.166667,2047.5,471.486234,1.870341502,1674.195164,0.972998233
1,1028.066667,1762.333333,2024.833333,474.7226344,1.868027836,1659.659833,0.956404565
1,1020.333333,1746,2041.333333,464.3412343,1.8723475,1671.425822,0.962418117
1,1020.423729,1750.677966,2052.542373,472.544882,1.869932201,1671.249837,0.97121153
1,1020.366667,1750.833333,2054.666667,466.1917653,1.860485667,1680.896834,0.964252837
1,1021.05,1788.166667,2171.666667,474.0729487,1.873080997,1736.509334,0.992155404
1,1026.35,1799.333333,2275.833333,469.2756841,1.873982495,1774.756502,0.981458069
1,1016.6,1791.333333,2291,484.9604838,1.911388499,1795.696501,0.983423393
